"guid","Vertical Section","Vertical Sub Category","Prefix","Number","Vertical Article Tags","Vertical Link"
"VIE001","","Vietnam War","","","","http://www.history.co.uk/explore-history/history-of-america/empire-of-liberty.html",
"TDIH31","December
November
October
September
August
July
June
May
April
March
February
January","31","","","","",
"TDIH30","December
November
October
September
August
July
June
May
April
March
February
January","30","","","","",
"TDIH29","December
November
October
September
August
July
June
May
April
March
February
January","29","","","","",
"TDIH28","December
November
October
September
August
July
June
May
April
March
February
January","28","","","","",
"TDIH27","December
November
October
September
August
July
June
May
April
March
February
January","27","","","","",
"TDIH26","December
November
October
September
August
July
June
May
April
March
February
January","26","","","","",
"TDIH25","December
November
October
September
August
July
June
May
April
March
February
January","25","","","","",
"TDIH24","December
November
October
September
August
July
June
May
April
March
February
January","24","","","","",
"TDIH23","December
November
October
September
August
July
June
May
April
March
February
January","23","","","","",
"TDIH22","December
November
October
September
August
July
June
May
April
March
February
January","22","","","","",
"TDIH21","December
November
October
September
August
July
June
May
April
March
February
January","21","","","","",
"TDIH20","December
November
October
September
August
July
June
May
April
March
February
January","20","","","","",
"TDIH19","December
November
October
September
August
July
June
May
April
March
February
January","19","","","","",
"TDIH18","December
November
October
September
August
July
June
May
April
March
February
January","18","","","","",
"TDIH17","December
November
October
September
August
July
June
May
April
March
February
January","17","","","","",
"TDIH16","December
November
October
September
August
July
June
May
April
March
February
January","16","","","","",
"TDIH15","December
November
October
September
August
July
June
May
April
March
February
January","15","","","","",
"TDIH14","December
November
October
September
August
July
June
May
April
March
February
January","14","","","","",
"TDIH13","December
November
October
September
August
July
June
May
April
March
February
January","13","","","","",
"TDIH12","December
November
October
September
August
July
June
May
April
March
February
January","12","","","","",
"TDIH11","December
November
October
September
August
July
June
May
April
March
February
January","11","","","","",
"TDIH10","December
November
October
September
August
July
June
May
April
March
February
January","10","","","","",
"TDIH09","December
November
October
September
August
July
June
May
April
March
February
January","9","","","","",
"TDIH08","December
November
October
September
August
July
June
May
April
March
February
January","8","","","","",
"TDIH07","December
November
October
September
August
July
June
May
April
March
February
January","7","","","","",
"TDIH06","December
November
October
September
August
July
June
May
April
March
February
January","6","","","","",
"TDIH05","December
November
October
September
August
July
June
May
April
March
February
January","5","","","","",
"TDIH04","December
November
October
September
August
July
June
May
April
March
February
January","4","","","","",
"TDIH03","December
November
October
September
August
July
June
May
April
March
February
January","3","","","","",
"TDIH02","December
November
October
September
August
July
June
May
April
March
February
January","2","","","","",
"TDIH01","December
November
October
September
August
July
June
May
April
March
February
January","1","","","","",
"LON002","","Longform","","","","",
"PRO001","Promo","Promo","","","","",
"NEW001","","New Clips","NEW","1","","http://www.history.co.uk/shows/pawn-stars/season-seven-clips",
"MAN001","","MANKIND The Story of All of Us","MAN","1","Stephen Fry, Mankind","http://www.history.co.uk/shows/mankind",
"AAM001","","A&amp;E uk_history brightcove account","AAM","1","","http://www.history.co.uk/ae_old",
"ROM001","History of London","Roman London","ROM","1","port, Thames, Roman Britain, London Bridge, trade, Boudica, Trading post, Londinium, Roman Empire, Roman","http://www.history.co.uk/explore-history/history-of-london/the-port-of-Londinium",
"RIS001","History of London","Rise and Fall of Roman London","RIS","1","Temple, Palace, London wall, Londinium, Britannia, Bathhouses, Basilica, Ampitheatre, Boudica, Forum","http://www.history.co.uk/explore-history/history-of-london/the-rise-and-fall-of-londinium",
"THE004","History of London","The Guilds and Livery Companies","THE","4","","http://www.history.co.uk/explore-history/history-of-london/the-guilds-and-livery-companies",
"SOU001","History of London","Southwark - Brothels and Bear-Baiting","SOU","1","bull, red-light, Shakespeare, Southwark, brothel, bear, Bankside, Globe, baiting, theatre","http://www.history.co.uk/explore-history/history-of-london/let-us-entertain-you",
"THE003","History of London","The Great Fire of London","THE","3","1666 , Wren, plague, Monument, pudding, St Paul’s, great, Christopher, fire, cathedral","http://www.history.co.uk/explore-history/history-of-london/london-rises-from-the-ashes",
"LON001","History of London","London&#039;s Coffee Houses ","LON","1","Christie’s , Dryden, King Charles II, Coffee, Cornhill, Sir Isaac Newton, Coffee house, Lloyd’s of London, Sotheby’s , The Stock Exchange","http://www.history.co.uk/explore-history/history-of-london/coffee-houses-london-s-penny-universities",
"INV001","History of London","Invasion of the Bodysnatchers","INV","1","Burke, grave, anatomy, resurrectionist, death, body snatcher, bodysnatcher, corpse, body, grave robber, Hare, cadaver, anatomist, surgeon","http://www.history.co.uk/explore-history/history-of-london/invasion-of-the-bodysnatchers",
"FOR001","History of London","Formation of the Metropolitan Police","FOR","1","uniform, city, bobby, police, Scotland Yard, river, Metropolitan, peeler, bobbies, Robert Peel","http://www.history.co.uk/explore-history/history-of-london/putting-bobby-on-the-beat",
"CHA002","History of London","Charles Dickens - Victorian Author","CHA","2","","http://www.history.co.uk/explore-history/history-of-london/what-the-dickens",
"WW2001","History of London","WW2 - The Blitz hits London","WW2","1","Blitz, City, lightning, air raid, bomber, German, docks, bomb, St Paul’s","http://www.history.co.uk/explore-history/history-of-london/the-blitz-the-lightning-war-hits-London",
"BUC001","History of London","Buckingham Palace","BUC","1","buckingham house, queen charlotte, the duke of edinburgh, buckingham palace, changing of the guard, george iv, edmund blore, queen elizabeth, queen victoria, george iii, john nash, marble arch, sir aston webb","http://www.history.co.uk/explore-history/history-of-london/buckingham-palace",
"77L001","History of London","7/7 London Bombings","77L","1","tube, bomb, terrorism, extremism, terrorist, london, bus, underground","http://www.history.co.uk/explore-history/history-of-london/london-bombings",
"JAM001","History of America","Jamestown","JAM","1","John Rolfe, Spain, Fish, Christopher Columbus, Jacksonville, Pocahontas, Jamestown, 1564, George Percy, Native American, 1492, New World, Atlantic","http://www.history.co.uk/explore-history/history-of-america/riches",
"PUR001","History of America","Puritans","PUR","1","Charles II, Provincetown, William Bradford, 1620, Native American, 1621, William Penn, Church, Puritan, plantation, England, Mayflower, Rhode Island","http://www.history.co.uk/explore-history/history-of-america/religion",
"SLA001","History of America","Slavery begins in America","SLA","1","servant, slave, Virginia, Free willers, slave triangle, slavery, Redemptioners, cotton, Anthony  Johnson, sugar, Indenture","http://www.history.co.uk/explore-history/history-of-america/servants-and-slaves",
"EUR001","History of America","European Invasion","EUR","1","Thanksgiving, tobacco, Aztec, Indian, smallpox, Roger Williams, pilgrim, John Smith, Inca, Native American","http://www.history.co.uk/explore-history/history-of-america/invasion",
"DEC001","History of America","Declaration of Independence","DEC","1","King George III, George Washington, Benjamin Franklin, 4th July, British, New York, War of Independence, Declaration of Independence","http://www.history.co.uk/explore-history/history-of-america/declaration",
"BAT004","History of America","Battle of Yorktown","BAT","4","Washington, Anna Smith Strong, Robert Townsend , red coat, president, Joseph Plum Martin, revolution","http://www.history.co.uk/explore-history/history-of-america/spies-and-allies",
"GOL001","History of America","Gold rush","GOL","1","Abraham Lincoln, gold fever, trade, Davy Crockett, San Fransico, mississippi river, gold, gold rush","http://www.history.co.uk/explore-history/history-of-america/gold",
"EMA001","History of America","Emancipation Proclamation","EMA","1","Sherman, Colonisation, Proclamation, Colonization, Emancipation, Chickamauga, Battle, Preliminary, Cotton, Chattanooga, Montgomery, Meigs, William","http://www.history.co.uk/explore-history/history-of-america/one-last-chance",
"JOH003","History of America","John D. Rockefeller&#039;s oil fortune","JOH","3","pennsylvania, oil, petroleum, Rockefeller","http://www.history.co.uk/explore-history/history-of-america/robber-barons-oil",
"AND001","History of America","Andrew Carnegie&#039;s steel fortune","AND","1","andrew carnegie, new york, steel, skyscraper, industrial","http://www.history.co.uk/explore-history/history-of-america/robber-barons-steel",
"PEA002","History of America","Pearl Harbor","PEA","2","war, bomb, pearl harbor, radar, hawaii","http://www.history.co.uk/explore-history/history-of-america/pearl-harbor",
"AFR001","History of America","African Americans &amp; Women","AFR","1","omaha, racism, war, women, feminism, steel, innovation, segregation","http://www.history.co.uk/explore-history/history-of-america/african-americans-and-women",
"ATO002","History of America","Atomic bomb","ATO","2","","http://www.history.co.uk/explore-history/history-of-america/bomb",
"911001","History of America","9/11 A War on Terror","911","1","Airline, President, 9/11, Flight, New York, NYFD, Pentagon, collapse, American, Center, South, terrorism, North, Trade, memorial, Towers, Giuliani, September 11th","http://www.history.co.uk/explore-history/history-of-america/nine-eleven",
"HIS002","","History of Football","HIS","2","football, Arsenal, Chelsea, pitch, World Cup, Bobby Moore, Geoff Hurst, Charlton","http://www.history.co.uk/explore-history/history-of-football",
"TRE001","World War 2","Treaty of Versailles","TRE","1","Alsace, peace, League of Nations, World War I, George Clemenceau, David Lloyd George, peace, Versailles, 28 June 1919, treaty, First World War, Woodrow Wilson, Lorraine","http://www.history.co.uk/explore-history/ww2/treaty-of-versailles",
"NAZ001","World War 2","Nazi Germany","NAZ","1","Lebensraum, Nazi, Adolf Hitler, Night of the Long Knives, Anschluss, anti-semitism, Enabling Act, Hitler, Facism, Weimar Republic, Jews, Reichstag, Germany, Kristallnacht ","http://www.history.co.uk/explore-history/ww2/nazi-germany",
"APP001","World War 2","Appeasement","APP","1","Neville Chamberlain, League of Nations, appeasement, peace in our time, Baldwin, Anthony Eden, 1938","http://www.history.co.uk/explore-history/ww2/appeasement",
"POL001","World War 2","Poland","POL","1","invasion, Polish, Poland, declaration of war, Blitzkrieg , Warsaw, Battle of Bzura","http://www.history.co.uk/explore-history/ww2/poland",
"FAL001","World War 2","Fall of France","FAL","1","Dunkirk, invasion, phoney war, German offensive, France, evacuation, 1940","http://www.history.co.uk/explore-history/ww2/fall-of-france",
"BAT003","World War 2","Battle of Britain","BAT","3","Royal Air Force, Churchill, Operation Sealion, Britain, Spitfire, bomber, blitz, fighter , plane, RAF, Hurricane, aeroplane, Messcherschmitt, Luftwaffe","http://www.history.co.uk/explore-history/ww2/battle-of-britain",
"BAR001","World War 2","Barbarossa ","BAR","1","Barbarossa, Operation Typhoon, Barbarossa, Moscow, Operation Barbarossa, Soviet Union, Stalin, Soviet, Axis, Eastern Front","http://www.history.co.uk/explore-history/ww2/barbarossa",
"COL001","World War 2","Collaboration &amp; Resistance","COL","1","France, The White Rose, Petain, Einsatzgruppen, Resistance, Granda, Collaboration, Boenhoffer, Nazi, SOE, occupation, Moulin, Marshall Petain, Vichy, Occupied Europe","http://www.history.co.uk/explore-history/ww2/collaboration-and-resistance",
"GEN002","World War 2","Genocide","GEN","2","Rudolf Hoess, Aryan, concentration , Jewish, master race, Auschwitz, solution, gypsy, death camps, anti-Semitism, final , Kristallnacht , genocide, Nuremburg Laws, Holocaust, Jews, Einsatzgruppen, Nazi","http://www.history.co.uk/explore-history/ww2/genocide",
"BRI001","World War 2","British Home Front","BRI","1","GI, rationing, rationing, spam, home front, Blitz, Local Defence Volunteers, air raids, Eden, evacuees, propaganda , family, home, Women’s Voluntary Service, evacuation, Home Guard, Women’s Land Army, black market, ration","http://www.history.co.uk/explore-history/ww2/british-home-front",
"PRI001","World War 2","Prisoners of War","PRI","1","escape, Geneva Convention, POW, death march, Stalag, Colditz , camp, prisoners of war, prisoners, Katyn Forest Massacre","http://www.history.co.uk/explore-history/ww2/prisoners-of-war",
"USE001","World War 2","US Entry &amp; Alliance","USE","1","Churchill, Lend lease, Roosevelt, Pearl Harbor ","http://www.history.co.uk/explore-history/ww2/us-entry-and-alliance",
"COD001","World War 2","Code Breaking","COD","1","Bletchley Park, Enigma, ULTRA","http://www.history.co.uk/explore-history/ww2/code-breaking",
"BAT002","World War 2","Battle of the Atlantic","BAT","2","Royal Navy, U-boat, Submarine, Royal Air Force","http://www.history.co.uk/explore-history/ww2/battle-of-the-atlantic",
"NOR001","World War 2","North Africa","NOR","1","Rommel, El Alamein, Tobruk, Montgomery","http://www.history.co.uk/explore-history/ww2/north-africa",
"STA001","World War 2","Stalingrad","STA","1","Paulus, Army Group A, Volga, Soviet Union","http://www.history.co.uk/explore-history/ww2/stalingrad",
"ITA001","World War 2","Italy","ITA","1","Rome, Patton, Montgomery, Mussolini, Victor Emmanuel III, Badoglio","http://www.history.co.uk/explore-history/ww2/italy",
"EAS001","World War 2","Eastern Front","EAS","1","Stalin, Kursk, Bagration, Warsaw","http://www.history.co.uk/explore-history/ww2/eastern-front",
"DDA001","World War 2","D-Day","DDA","1","Omaha, Juno, Gold, Pointe-Du-Hoc, Sword, Utah, Pegasus Bridge, Overlord, Eisenhower, Sainte-Mère-Eglise","http://www.history.co.uk/explore-history/ww2/d-day",
"THE002","World War 2","The Bombing Offensive","THE","2","Bomber Harris, USAAF, Luftwaffe, Lancaster, Dambuster, Blitz, Dresden, RAF","http://www.history.co.uk/explore-history/ww2/bombing-offensive",
"DIS001","World War 2","Disintegration","DIS","1","Battle of the Bulge, Vistula Offensive, Rhine, Berlin, Unconditional Surrender","http://www.history.co.uk/explore-history/ww2/disintegration",
"NUR001","World War 2","Nuremberg","NUR","1","Hess, Goring, Goering, Speer, Nazi, Eichmann","http://www.history.co.uk/explore-history/ww2/nuremberg",
"IMP001","World War 2","Imperial Japan","IMP","1","Manchukuo, Japanese Empire, Pearl Harbor, Nanking, Emperor, Greater East Asian Co-Prosperity Sphere, Marco Polo Bridge, Hirohito, Japan, Manchuria","http://www.history.co.uk/explore-history/ww2/imperial-japan",
"SIN002","World War 2","Sino-Japanese War","SIN","2","Kuomintang , Chiang Kai-shek, Mao Tse-Tung , Nanjing, Marco Polo Bridge, Manchuria, Nanking","http://www.history.co.uk/explore-history/ww2/sino-japanese-war",
"PEA001","World War 2","Pearl Harbor","PEA","1","President Roosevelt, Tripartite Pact, Pearl Harbor","http://www.history.co.uk/explore-history/ww2/pearl-harbor",
"SIN001","World War 2","Singapore and Hong Kong","SIN","1","Percival, Singapore, Hong Kong, Yamashita, Malaysia","http://www.history.co.uk/explore-history/ww2/singapore-and-hong-kong",
"OCC001","World War 2","Occupation and POWs","OCC","1","China, Southeast Asia, Japan, Tojo, Tokyo War Crimes Tribunal, Bataan Death March","http://www.history.co.uk/explore-history/ww2/occupation-and-pows",
"BAT001","World War 2","Battle of Midway","BAT","1","Doolittle Raid, Pacific Ocean, Yamamoto, Battle of the Coral Sea, US Navy","http://www.history.co.uk/explore-history/ww2/battle-of-midway",
"GUA001","World War 2","Guadalcanal","GUA","1","Henderson’s Field, Nimitz, Solomon Islands, Naval Battle of Guadalcanal, Australia ","http://www.history.co.uk/explore-history/ww2/guadalcanal",
"BUR001","World War 2","Burma","BUR","1","Viscount Slim, Chindits, Gurkhas, Fourteenth Army, Mandalay , Imphal ","http://www.history.co.uk/explore-history/ww2/burma",
"PAC001","World War 2","Pacific &amp; Philippines","PAC","1","Nimitz, MacArthur, Okinawa, Iwo Jima, Marshall Islands, Philippines, Leyte Gulf","http://www.history.co.uk/explore-history/ww2/pacific-and-philippines",
"CHI001","World War 2","China","CHI","1","Chiang Kai-Shek, Kuomintang, General ‘Vinegar Joe’ Stillwell, Mao Tse Tung, CCP, KMT, China","http://www.history.co.uk/explore-history/ww2/china",
"ATO001","World War 2","Atomic Bomb","ATO","1","Nagasaki, Hiroshima, Manhattan Project, Los Alamos, Japanese surrender, Enola Gay","http://www.history.co.uk/explore-history/ww2/atomic-bomb",
"HIS001","Sport","History of Tennis","HIS","1","","http://www.history.co.uk/explore-history/history-of-tennis",
"EQU001","Animals of War","Equidae Family","EQU","1","world war 1, mules in war, animals in war, charge of the light brigade, sefton, tranches, world war, horse, world war 2, war horse, war animals, donkey in war","http://www.history.co.uk/explore-history/history-of-war-animals/equidae-family",
"CHA001","Biographies","Charlie Chaplin","CHA","1","little tramp, the kid, the immigrant, the great dictator","http://www.history.co.uk/biographies/charlie-chaplin",
"GEN001","Biographies","Genghis Khan","GEN","1","","http://www.history.co.uk/biographies/genghis-khan",
"HEN001","Biographies","Henry Ford","HEN","1","Model T , car, Henry Ford, factory, men who built america, automobile, production line","http://www.history.co.uk/biographies/henry-ford",
"JAC001","Biographies","Jackie Kennedy","JAC","1","president, white house, assasination","http://www.history.co.uk/biographies/jackie-kennedy",
"JOH002","Biographies","John Fitzgerald Kennedy ","JOH","2","USA, President, JFK, assissinated ","http://www.history.co.uk/biographies/john-fitzgerald-kennedy",
"JOH001","Biographies","John D Rockefeller","JOH","1","Rockefeller, oil, money","http://www.history.co.uk/biographies/john-d-rockefeller",
"002","","unsorted","","2","Rockefeller, oil, money","http://www.history.co.uk/",
"THE001","Microsite","The People Speak","THE","1","documentary, celebrity, performance, speeches, spoken word, history","http://www.history.co.uk/the-people-speak",
"001","","","","1","","http://www.history.co.uk/old-mankind",
